#id obswave x_arcmin y_arcmin
1 6551.36 5.42 -0.24
2 6561.44 -0.12 -12.19
3 6559.44 -5.06 3.98
4 6565.71 2.83 -1.07
5 6565.47 -0.29 -4.46
6 6563.98 1.76 9.44
7 6561.49 10.31 3.39
8 6566.21 4.96 -7.14
9 6567.42 -4.14 -1.79
10 6561.81 9.18 3.70
11 6562.94 1.91 5.68
12 6569.77 -2.25 0.24
13 6566.53 -9.17 4.66
14 6563.34 -4.36 14.70
15 6570.25 5.73 -6.24
16 6562.38 4.03 -2.25
17 6564.84 -9.60 2.75
18 6566.49 1.26 -3.76
19 6557.44 0.17 -0.62
20 6569.77 3.11 5.68
21 6578.60 -1.57 1.92
22 6567.54 -1.65 2.60
23 6551.63 0.64 12.54
24 6565.63 2.00 7.62
25 6567.67 0.12 5.36
26 6568.94 -9.15 -7.38
27 6561.37 -1.27 -4.15
28 6560.20 -1.94 9.99
29 6557.06 6.11 -7.15
30 6557.82 5.09 0.79
31 6570.28 -4.06 -2.53
32 6556.45 -9.01 7.40
33 6563.33 4.90 0.86
34 6559.49 7.78 -7.71
35 6563.58 3.62 -6.83
36 6565.10 0.56 -6.96
37 6564.30 11.59 4.11
38 6573.84 -2.00 3.51
39 6555.97 0.67 1.68
40 6560.97 -3.96 -13.23
41 6555.23 0.87 -9.42
42 6565.94 -3.69 7.53
43 6563.61 11.40 -5.10
44 6568.96 1.06 14.49
45 6554.96 5.06 6.63
46 6558.75 -7.21 -3.59
47 6572.27 -0.17 3.33
48 6561.63 -1.28 -5.95
49 6565.81 -7.09 -10.67
50 6562.70 3.59 7.03
51 6569.75 9.56 11.86
52 6563.50 -1.84 -0.26
53 6560.77 -0.39 6.08
54 6570.34 0.55 -6.31
55 6567.82 -3.36 4.43
56 6570.05 3.55 3.96
57 6561.85 -2.41 5.21
58 6561.93 3.40 -11.25
59 6560.70 8.44 9.52
60 6572.30 -6.30 -0.32
61 6557.84 0.26 7.25
62 6557.65 -7.31 -2.69
63 6555.72 6.16 4.73
64 6563.30 5.80 0.57
65 6575.53 -5.75 2.46
66 6571.11 2.64 3.27
67 6562.67 3.12 -2.68
68 6555.49 -3.37 2.86
69 6562.15 -0.96 -2.43
70 6559.26 2.07 2.23
71 6562.58 1.29 -8.08
72 6563.62 0.58 2.66
73 6557.64 0.99 -0.24
74 6574.43 1.79 -3.06
75 6567.09 6.62 7.50
76 6558.16 9.00 -4.95
77 6567.91 5.31 -8.89
78 6554.80 -10.02 -12.42
79 6551.30 -9.60 -5.30
80 6565.99 -1.89 -10.15
81 6570.17 9.36 -4.80
82 6564.33 2.52 8.34
83 6568.03 0.94 -4.92
84 6553.85 1.81 0.86
85 6554.28 10.04 5.87
86 6559.25 -4.82 -7.13
87 6562.23 0.06 6.54
88 6561.18 -2.88 4.55
89 6560.52 7.63 8.83
90 6570.62 6.62 2.03
91 6569.94 10.67 9.64
92 6564.44 -6.92 -0.80
93 6565.76 -1.29 -0.87
94 6559.74 -0.57 1.03
95 6556.68 -5.03 -1.33
96 6572.43 4.11 0.90
97 6568.32 2.77 3.32
98 6562.29 8.29 0.13
99 6568.62 -4.72 -1.14
100 6563.06 4.62 4.12
