#       name   gasdensity  sfrdensity       tdyn
#
      NGC224   4.786e+06   0.0007413     4.6e+08
      NGC598   1.072e+07    0.003388       4e+08
      NGC772    8.71e+06    0.001445     7.9e+08
      NGC925   8.128e+06    0.003631     7.3e+08
     NGC1569   2.138e+07      0.1585       2e+08
     NGC2336   8.128e+06     0.01202     7.4e+08
     NGC2403   7.586e+06    0.007079     3.5e+08
     NGC2841   9.333e+06    0.001023     1.6e+08
     NGC2903   7.244e+06    0.004898     3.1e+08
     NGC2976    9.55e+06     0.02188     1.3e+08
     NGC3031   7.079e+06    0.003162     2.7e+08
     NGC3310    1.38e+07     0.07244     2.5e+08
     NGC3338   6.457e+06    0.002754       4e+08
     NGC3368   8.511e+06    0.002818     2.7e+08
     NGC3486   7.586e+06    0.003467     3.2e+08
     NGC3521    1.66e+07      0.0123     3.3e+08
     NGC3631   1.445e+07     0.01862     4.9e+08
     NGC3675   9.772e+06    0.009772     2.2e+08
     NGC3726   1.148e+07    0.005248     3.2e+08
     NGC3893   1.148e+07     0.01096       3e+08
     NGC4178   1.349e+07     0.00537     3.9e+08
     NGC4254   2.455e+07     0.01995     3.5e+08
     NGC4258    3.89e+06    0.004365     4.8e+08
     NGC4294   1.047e+07     0.01349       3e+08
     NGC4303   1.622e+07      0.0182     4.8e+08
     NGC4321    1.38e+07    0.008511     4.5e+08
     NGC4394   4.266e+06    0.001318     3.2e+08
     NGC4402   1.202e+07    0.001585     4.2e+08
     NGC4501    1.23e+07    0.006166     3.3e+08
     NGC4519   9.772e+06     0.01047     2.9e+08
     NGC4535   1.023e+07    0.004169     5.2e+08
     NGC4548   4.898e+06     0.00302     3.4e+08
     NGC4561   3.311e+07     0.01175     1.6e+08
     NGC4569   4.074e+06     0.00166       5e+08
     NGC4571   6.761e+06    0.002754     4.7e+08
     NGC4579   6.457e+06    0.004786     2.8e+08
     NGC4639    5.37e+06    0.007762     2.2e+08
     NGC4647   1.096e+07    0.006026     3.5e+08
     NGC4651   1.148e+07     0.01047     2.7e+08
     NGC4654   1.259e+07     0.00871     3.5e+08
     NGC4689    8.71e+06    0.004169     3.2e+08
     NGC4698   1.778e+06   0.0002818     2.5e+08
     NGC4713   1.096e+07     0.02951     3.2e+08
     NGC4736   4.467e+06    0.006026     2.7e+08
     NGC5033   8.511e+06    0.002291     7.7e+08
     NGC5055   1.479e+07    0.004786     3.8e+08
     NGC5194   2.951e+07      0.0166     3.4e+08
     NGC5236   5.012e+07      0.0389     2.8e+08
     NGC5457    1.23e+07    0.003467     8.8e+08
     NGC6207   1.072e+07     0.01995     2.6e+08
     NGC6217    1.95e+07      0.0123     2.9e+08
     NGC6503   7.762e+06    0.008318     1.7e+08
     NGC6643   1.288e+07     0.01549     3.7e+08
     NGC6946   1.995e+07     0.01318     3.5e+08
     NGC7331   1.202e+07    0.004677     5.8e+08
      NGC253   2.239e+09       17.38     1.5e+07
      NGC660   3.981e+08       1.148     4.6e+07
      NGC828   4.571e+09       12.59     2.6e+07
      NGC891   4.074e+08       0.263     2.2e+07
     NGC1097   4.677e+08       0.631     2.9e+07
     NGC1614   5.248e+09       61.66     1.9e+07
     NGC1808   4.467e+08       1.202     5.2e+07
     NGC2146   6.761e+08       6.918     3.2e+07
     NGC3034   3.311e+09        30.2       9e+06
     NGC3256   1.349e+09       4.786    1.22e+08
     NGC3351   6.761e+08       1.738     1.3e+07
     NGC3504   7.943e+08       1.288       2e+07
     NGC3627   1.905e+08      0.1698     3.8e+07
     NGC4736   1.778e+08      0.6607     1.4e+07
     NGC5194    3.09e+08     0.07762     4.4e+07
     NGC5236   7.413e+08       1.995     2.1e+07
     NGC6240   1.288e+10       74.13     2.4e+07
     NGC6946    1.82e+08      0.5012     9.4e+07
       IC883   8.913e+09       34.67     2.3e+07
      IC1623   6.457e+09       46.77     2.4e+07
     Maffei2   2.884e+08       0.537     7.8e+07
       Arp55    5.37e+08       2.089    1.34e+08
      Arp220   5.754e+10         955       6e+06
 IR10173+0828    2.57e+08        3.02    1.68e+08
     VIIZw31   1.288e+09       6.607    1.18e+08
  ZW0497.057   7.943e+09       58.88     1.9e+07
