#obswave  flux    err
3843.2621 6.95542 1.39801
3844.1471 3.80903 1.36708
3845.0324 4.10284 1.36236
3845.9178 6.68510 1.42560
3846.8035 6.94800 1.39428
3847.6893 6.44091 1.37742
3848.5754 6.79069 1.37287
3849.4617 7.83004 1.38233
3850.3481 7.28481 1.36718
3851.2348 7.30935 1.33146
3852.1217 8.72348 1.35232
3853.0088 8.86059 1.34894
3853.8961 7.27667 1.31958
3854.7836 5.77250 1.29234
3855.6713 6.42028 1.32649
3856.5592 6.90770 1.34345
3857.4473 6.72190 1.36603
3858.3356 7.37342 1.35602
3859.2241 5.43481 1.32419
3860.1128 8.07254 1.32058
3861.0018 8.71663 1.33592
3861.8909 6.73924 1.29048
3862.7802 4.51475 1.29839
3863.6698 3.53573 1.27594
3864.5595 5.33199 1.30837
3865.4495 3.96362 1.28844
3866.3396 6.14065 1.31564
3867.2300 6.81458 1.33950
3868.1205 4.58688 1.32552
3869.0113 6.19626 1.31925
3869.9023 7.56588 1.29861
3870.7935 9.71358 1.28717
3871.6849 7.51688 1.23062
3872.5764 6.52408 1.24817
3873.4682 7.35366 1.27725
3874.3602 5.71573 1.27413
3875.2525 12.9616 1.37253
3876.1449 10.0045 1.37387
3877.0375 10.4597 1.40893
3877.9303 9.61645 1.30204
3878.8233 6.06298 1.25908
3879.7166 8.65481 1.27364
3880.6100 6.89691 1.27027
3881.5037 8.31689 1.27213
3882.3975 6.19384 1.26365
3883.2916 5.64355 1.25537
3884.1858 8.66278 1.34416
3885.0803 8.14515 1.30989
3885.9750 6.06921 1.28384
3886.8699 8.08068 1.32617
3887.7649 7.32217 1.33910
3888.6602 6.36926 1.31709
3889.5557 7.47023 1.30639
3890.4514 6.97116 1.27614
3891.3474 5.20619 1.20161
3892.2435 5.00542 1.19924
3893.1398 6.12099 1.18829
3894.0363 6.13181 1.28049
3894.9331 5.71335 1.29139
3895.8300 7.34169 1.31115
3896.7272 6.74789 1.29452
3897.6245 5.32856 1.27770
3898.5221 7.87124 1.30468
3899.4199 11.4780 1.37076
3900.3178 11.3678 1.34849
3901.2160 7.14778 1.29188
3902.1144 4.46705 1.24520
3903.0130 9.19450 1.32251
3903.9118 9.08330 1.32203
3904.8108 9.27444 1.36332
3905.7101 10.9548 1.36057
3906.6095 6.32080 1.32727
3907.5091 7.20240 1.34438
3908.4090 11.4176 1.41469
3909.3090 9.40152 1.44209
3910.2093 8.28018 1.42636
3911.1097 10.7336 1.41763
3912.0104 8.79120 1.43433
3912.9113 8.20129 1.49829
3913.8124 13.7812 1.63962
3914.7136 9.72829 1.52830
3915.6151 6.43532 1.40685
3916.5169 9.68352 1.29207
3917.4188 8.97142 1.23220
3918.3209 10.5766 1.22689
3919.2232 7.67624 1.20660
3920.1258 8.34802 1.22932
3921.0285 9.64463 1.25685
3921.9315 8.51028 1.23505
3922.8346 8.59025 1.23167
3923.7380 9.06325 1.20569
3924.6416 7.63752 1.18625
3925.5454 6.84505 1.16035
3926.4494 6.33583 1.14746
3927.3536 5.95831 1.14551
3928.2580 6.86344 1.16181
3929.1626 6.95447 1.16409
