#name  yeff   vrot
NGC224 0.0068 252
NGC253 0.0067 210
NGC300 0.0076 91
NGC598 0.0033 110
NGC628 0.011 275
NGC925 0.0040 118
NGC1637 0.010 135
NGC2403 0.0036 136
NGC2903 0.014 210
NGC3344 0.0074 165
NGC3521 0.017 210
NGC4254 0.013 250
NGC4258 0.0058 216
NGC4303 0.0086 150
NGC4321 0.011 270
NGC5033 0.0078 220
NGC5055 0.013 214
NGC5194 0.012 260
NGC5236 0.012 180
NGC5457 0.0064 260
NGC6384 0.0077 219
NGC6946 0.0060 220
NGC7331 0.0074 250
WLM 0.0009 21
NGC55 0.0042 86
IC10 0.0026 30
IC1613 0.0008 21
LeoA 0.0020 3
SextansB 0.0013 22
SextansA 0.0011 34
DDO155 0.0014 8
SgrdI 0.0008 2
NGC6822 0.0037 47
IC5152 0.0047 31
Pegasus 0.0009 10
NGC3109 0.0074 67
